cursor/4p-index-avfallsforskrift-65aa	4P_Index_Avfallsforskriften.xlsx	3be973fbaf7a.xlsx
cursor/4p-index-karnali-tourism-masterplan-376f	4p_index_ssdp_emf_2017.xlsx	a8b453879899.xlsx
cursor/4p-index-karnali-tourism-masterplan-376f	4p_index_swm_act_2068_2019.xlsx	3524dc8dee53.xlsx
cursor/4p-index-karnali-tourism-masterplan-376f	4p_index_tourism_health_protocol_2020.xlsx	6a0da0347227.xlsx
cursor/4p-index-karnali-tourism-masterplan-376f	4p_index_wto_tpr_nepal_2025.xlsx	3f662dec5963.xlsx
cursor/4p-index-meld-st-45-kap7-65aa	4P_Index_Meld_St_45_Kap7.xlsx	ddcdb78d7ca1.xlsx
cursor/4p-index-noregs-plaststrategi-65aa	4P_Index_Noregs_Plaststrategi.xlsx	746b327d3c9b.xlsx
cursor/4p-index-produktforskrift-65aa	4P_Index_Produktforskrift.xlsx	64adbd0e10ae.xlsx
cursor/4p-index-produktforskrift-kap2b-65aa	4P_Index_Produktforskrift_Kap2b.xlsx	a36c6cff43aa.xlsx
cursor/4p-index-produktforskrift-sup-3200-65aa	4P_Index_Produktforskrift_SUP_3200.xlsx	bdee8d7e8189.xlsx
cursor/4p-index-reach-forskrift-65aa	4P_Index_REACH_forskrift.xlsx	ba2e0bd60130.xlsx
cursor/4p-index-sirkulaerokonomistrategi-65aa	4P_Index_Sirkulaerokonomistrategi.xlsx	e2756311c952.xlsx
cursor/4p-index-skipssikkerhet-marpol-v-65aa	4P_Index_Skipssikkerhet_MARPOL_V.xlsx	6f44c41c3c6d.xlsx
cursor/4p-index-stortingsvedtak-2026-65aa	4P_Index_Stortingsvedtak_Drikkevareemballasje_2026.xlsx	b7c03d9fb5bf.xlsx
cursor/code-stp-basic-environmental-law-3cda	4p-index/STP_Lei-10-1999_Basic-Environmental-Law_4P-Index.csv	3736b74b4c9f.csv
cursor/code-stp-basic-environmental-law-3cda	4p-index/STP_Lei-10-1999_Basic-Environmental-Law_4P-Index.xlsx	4cd8436d1fe2.xlsx
cursor/code-stp-customs-duties-law-3cda	4p-index/STP_Lei-4-2023_Customs-Duties-Law_4P-Index.csv	922e0281e78e.csv
cursor/code-stp-customs-duties-law-3cda	4p-index/STP_Lei-4-2023_Customs-Duties-Law_4P-Index.xlsx	687db25e3d3c.xlsx
cursor/code-stp-eia-decree-3cda	4p-index/STP_Decreto-37-1999_EIA-Decree_4P-Index.csv	6c1a28898c1a.csv
cursor/code-stp-eia-decree-3cda	4p-index/STP_Decreto-37-1999_EIA-Decree_4P-Index.xlsx	4c144127ce7e.xlsx
cursor/code-stp-fisheries-law-3cda	4p-index/STP_Lei-9-2022_Fisheries-Aquaculture-Law_4P-Index.csv	3630fc8691f2.csv
cursor/code-stp-fisheries-law-3cda	4p-index/STP_Lei-9-2022_Fisheries-Aquaculture-Law_4P-Index.xlsx	be1f4d76d504.xlsx
cursor/code-stp-plastic-bag-law-3cda	4p-index/STP_Lei-8-2020_Plastic-Bag-Law_4P-Index.csv	f0bbfb732529.csv
cursor/code-stp-plastic-bag-law-3cda	4p-index/STP_Lei-8-2020_Plastic-Bag-Law_4P-Index.xlsx	e2736e9cd0de.xlsx
cursor/code-stp-pngirsu-3cda	4p-index/STP_PNGIRSU-2018-2023_4P-Index.csv	64ba5e36492d.csv
cursor/code-stp-pngirsu-3cda	4p-index/STP_PNGIRSU-2018-2023_4P-Index.xlsx	ce4557dff46c.xlsx
cursor/code-stp-waste-decree-3cda	4p-index/STP_Decreto-36-1999_Waste-Decree_4P-Index.csv	8eaccaff5b86.csv
cursor/code-stp-waste-decree-3cda	4p-index/STP_Decreto-36-1999_Waste-Decree_4P-Index.xlsx	8abc9ce929c4.xlsx
cursor/mozambique-anac-tourism-concessions-manual-2012-04b6	output/mozambique/4P_Index_Mozambique_ANAC_Tourism_Concessions_Manual_2012.csv	ec7246efeb8a.csv
cursor/mozambique-anac-tourism-concessions-manual-2012-04b6	output/mozambique/4P_Index_Mozambique_ANAC_Tourism_Concessions_Manual_2012.xlsx	d9cd253e05fa.xlsx
cursor/mozambique-decree-18-2004-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_18_2004.csv	2e4359ff164c.csv
cursor/mozambique-decree-18-2004-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_18_2004.xlsx	229a98e5a192.xlsx
cursor/mozambique-decree-18-2004-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_94_2014.csv	6d541d280c71.csv
cursor/mozambique-decree-18-2004-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_94_2014.xlsx	ba658a02bca5.xlsx
cursor/mozambique-decree-18-2004-4p-index-04b6	output/mozambique/4P_Index_Mozambique_NDC_3_0_Provisional.csv	77a019e12a7a.csv
cursor/mozambique-decree-18-2004-4p-index-04b6	output/mozambique/4P_Index_Mozambique_NDC_3_0_Provisional.xlsx	8b77e78348ab.xlsx
cursor/mozambique-decree-23-2008-lot-regulation-04b6	output/mozambique/4P_Index_Mozambique_Decree_23_2008_LOT_Regulation.csv	c85201045cf3.csv
cursor/mozambique-decree-23-2008-lot-regulation-04b6	output/mozambique/4P_Index_Mozambique_Decree_23_2008_LOT_Regulation.xlsx	bc5d485ae555.xlsx
cursor/mozambique-decree-45-2006-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_18_2004.csv	2e4359ff164c.csv
cursor/mozambique-decree-45-2006-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_18_2004.xlsx	229a98e5a192.xlsx
cursor/mozambique-decree-45-2006-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_45_2006.csv	eff56de9e47c.csv
cursor/mozambique-decree-45-2006-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_45_2006.xlsx	909e5a6dcba9.xlsx
cursor/mozambique-decree-45-2006-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_94_2014.csv	6d541d280c71.csv
cursor/mozambique-decree-45-2006-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_94_2014.xlsx	ba658a02bca5.xlsx
cursor/mozambique-decree-45-2006-4p-index-04b6	output/mozambique/4P_Index_Mozambique_NDC_3_0_Provisional.csv	77a019e12a7a.csv
cursor/mozambique-decree-45-2006-4p-index-04b6	output/mozambique/4P_Index_Mozambique_NDC_3_0_Provisional.xlsx	8b77e78348ab.xlsx
cursor/mozambique-decree-45-2024-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_45_2024.csv	eac495bff9bf.csv
cursor/mozambique-decree-45-2024-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_45_2024.xlsx	d99d102b9695.xlsx
cursor/mozambique-decree-51-2024-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_51_2024.csv	d843340c6294.csv
cursor/mozambique-decree-51-2024-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_51_2024.xlsx	0e8ebd724ce1.xlsx
cursor/mozambique-decree-54-2015-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_51_2024.csv	d843340c6294.csv
cursor/mozambique-decree-54-2015-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_51_2024.xlsx	0e8ebd724ce1.xlsx
cursor/mozambique-decree-54-2015-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_54_2015.csv	c9b5e0aee528.csv
cursor/mozambique-decree-54-2015-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_54_2015.xlsx	5c9aea256ef5.xlsx
cursor/mozambique-decree-94-2014-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_94_2014.csv	6d541d280c71.csv
cursor/mozambique-decree-94-2014-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_94_2014.xlsx	ba658a02bca5.xlsx
cursor/mozambique-decree-97-2020-coastal-zones-04b6	output/mozambique/4P_Index_Mozambique_Decree_94_2014.csv	6d541d280c71.csv
cursor/mozambique-decree-97-2020-coastal-zones-04b6	output/mozambique/4P_Index_Mozambique_Decree_94_2014.xlsx	ba658a02bca5.xlsx
cursor/mozambique-decree-97-2020-coastal-zones-04b6	output/mozambique/4P_Index_Mozambique_Decree_97_2020_Coastal_Zones.csv	c9008e6d6ef4.csv
cursor/mozambique-decree-97-2020-coastal-zones-04b6	output/mozambique/4P_Index_Mozambique_Decree_97_2020_Coastal_Zones.xlsx	f09ee46a9673.xlsx
cursor/mozambique-egizc-2016-2025-4p-index-04b6	output/mozambique/4P_Index_Mozambique_EGIZC_2016_2025.csv	7d02f9d80aab.csv
cursor/mozambique-egizc-2016-2025-4p-index-04b6	output/mozambique/4P_Index_Mozambique_EGIZC_2016_2025.xlsx	1adc2c0ebb3a.xlsx
cursor/mozambique-law-19-2007-territorial-planning-04b6	output/mozambique/4P_Index_Mozambique_Law_19_2007_Territorial_Planning.csv	bb6d1c9df749.csv
cursor/mozambique-law-19-2007-territorial-planning-04b6	output/mozambique/4P_Index_Mozambique_Law_19_2007_Territorial_Planning.xlsx	4bea49c2ef51.xlsx
cursor/mozambique-law-20-2019-sea-law-04b6	output/mozambique/4P_Index_Mozambique_Law_20_2019_Sea_Law.csv	8e2199c844ad.csv
cursor/mozambique-law-20-2019-sea-law-04b6	output/mozambique/4P_Index_Mozambique_Law_20_2019_Sea_Law.xlsx	41aaaf8c6e55.xlsx
cursor/mozambique-ndc-3-0-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_94_2014.csv	6d541d280c71.csv
cursor/mozambique-ndc-3-0-4p-index-04b6	output/mozambique/4P_Index_Mozambique_Decree_94_2014.xlsx	ba658a02bca5.xlsx
cursor/mozambique-ndc-3-0-4p-index-04b6	output/mozambique/4P_Index_Mozambique_NDC_3_0_Provisional.csv	77a019e12a7a.csv
cursor/mozambique-ndc-3-0-4p-index-04b6	output/mozambique/4P_Index_Mozambique_NDC_3_0_Provisional.xlsx	8b77e78348ab.xlsx
cursor/mozambique-plastic-policies-7c97	Mozambique_4P_Index.xlsx	8e79dc1020c3.xlsx
cursor/mozambique-plastic-policies-7c97	Mozambique_4P_Index_Colectanea_FDUEM.xlsx	34111328213a.xlsx
cursor/mozambique-plastic-policies-7c97	Mozambique_4P_Index_Decreto_16_2015.xlsx	f74b03670bd7.xlsx
cursor/mozambique-plastic-policies-7c97	Mozambique_4P_Index_Decreto_79_2017.xlsx	5bef26a3d942.xlsx
cursor/mozambique-plastic-policies-7c97	Mozambique_4P_Index_ESMF_CRRN.xlsx	ad3cf1bbb89c.xlsx
cursor/mozambique-plastic-policies-7c97	Mozambique_4P_Index_Lei_20_97.xlsx	28454390a444.xlsx
cursor/mozambique-plastic-policies-7c97	Mozambique_4P_Index_Resolucao_5_95.xlsx	f13d03c58ce6.xlsx
cursor/mozambique-resolution-13-2021-health-policy-04b6	output/mozambique/4P_Index_Mozambique_Resolution_13_2021_Health_Policy.csv	4b4aa85f6953.csv
cursor/mozambique-resolution-13-2021-health-policy-04b6	output/mozambique/4P_Index_Mozambique_Resolution_13_2021_Health_Policy.xlsx	cad8d14473ef.xlsx
cursor/mozambique-resolution-39-2017-polmar-04b6	output/mozambique/4P_Index_Mozambique_Resolution_39_2017_POLMAR.csv	e5b7da0dca1a.csv
cursor/mozambique-resolution-39-2017-polmar-04b6	output/mozambique/4P_Index_Mozambique_Resolution_39_2017_POLMAR.xlsx	072b4506edcd.xlsx
cursor/mozambique-resolution-51-2022-coral-reef-04b6	output/mozambique/4P_Index_Mozambique_Resolution_51_2022_Coral_Reef.csv	89bc1b770cd8.csv
cursor/mozambique-resolution-51-2022-coral-reef-04b6	output/mozambique/4P_Index_Mozambique_Resolution_51_2022_Coral_Reef.xlsx	c44412cb16fc.xlsx
cursor/mozambique-resolution-53-2024-edea-04b6	output/mozambique/4P_Index_Mozambique_Resolution_53_2024_EDEA.csv	4998d3d8b947.csv
cursor/mozambique-resolution-53-2024-edea-04b6	output/mozambique/4P_Index_Mozambique_Resolution_53_2024_EDEA.xlsx	e2a393069ccb.xlsx
cursor/mozambique-resolution-63-2024-poem-04b6	output/mozambique/4P_Index_Mozambique_Resolution_63_2024_POEM.csv	3ebefbef27a3.csv
cursor/mozambique-resolution-63-2024-poem-04b6	output/mozambique/4P_Index_Mozambique_Resolution_63_2024_POEM.xlsx	fbaeea996745.xlsx
cursor/mozambique-resolution-7-2021-pndt-04b6	output/mozambique/4P_Index_Mozambique_Resolution_7_2021_PNDT.csv	e027e93ddb59.csv
cursor/mozambique-resolution-7-2021-pndt-04b6	output/mozambique/4P_Index_Mozambique_Resolution_7_2021_PNDT.xlsx	aa5438cfb5a1.xlsx
cursor/peru-dl-1278-4p-index-d350	output/peru-dl-1278/Peru_DL_1278_4P_Index_Coding.xlsx	7f7cad4e0a23.xlsx
cursor/peru-dl-1278-4p-index-d350	output/peru-ds-005-2010-minam/Peru_DS_005_2010_MINAM_4P_Index_Coding.xlsx	06643f5ba09f.xlsx
cursor/peru-ds-001-2022-4p-index-d350	output/peru-ds-001-2022-minam/Peru_DS_001_2022_MINAM_4P_Index_Coding.xlsx	4525e00a32b5.xlsx
cursor/peru-ds-002-2024-4p-index-d350	output/peru-ds-001-2022-minam/Peru_DS_001_2022_MINAM_4P_Index_Coding.xlsx	4525e00a32b5.xlsx
cursor/peru-ds-002-2024-4p-index-d350	output/peru-ds-002-2024-minam/Peru_DS_002_2024_MINAM_4P_Index_Coding.xlsx	33c10abe5d16.xlsx
cursor/peru-ds-002-2024-4p-index-d350	output/peru-ley-31896/Peru_Ley_31896_4P_Index_Coding.xlsx	0ab2876a07a6.xlsx
cursor/peru-ds-003-2025-4p-index-d350	output/peru-ds-001-2022-minam/Peru_DS_001_2022_MINAM_4P_Index_Coding.xlsx	4525e00a32b5.xlsx
cursor/peru-ds-003-2025-4p-index-d350	output/peru-ds-002-2024-minam/Peru_DS_002_2024_MINAM_4P_Index_Coding.xlsx	33c10abe5d16.xlsx
cursor/peru-ds-003-2025-4p-index-d350	output/peru-ds-003-2025-minam/Peru_DS_003_2025_MINAM_4P_Index_Coding.xlsx	0b1e9211cc98.xlsx
cursor/peru-ds-003-2025-4p-index-d350	output/peru-ley-31896/Peru_Ley_31896_4P_Index_Coding.xlsx	0ab2876a07a6.xlsx
cursor/peru-ds-003-2025-4p-index-d350	output/peru-ley-32212/Peru_Ley_32212_4P_Index_Coding.xlsx	4d46e80378f4.xlsx
cursor/peru-ds-005-2010-4p-index-d350	output/peru-ds-005-2010-minam/Peru_DS_005_2010_MINAM_4P_Index_Coding.xlsx	06643f5ba09f.xlsx
cursor/peru-ds-006-2019-4p-index-d350	output/peru-ds-006-2019-minam/Peru_DS_006_2019_MINAM_4P_Index_Coding.xlsx	f50f3eb3487f.xlsx
cursor/peru-ds-009-2019-4p-index-d350	output/peru-ds-009-2019-minam/Peru_DS_009_2019_MINAM_4P_Index_Coding.xlsx	3d452b6d87ef.xlsx
cursor/peru-ds-013-2018-4p-index-d350	output/peru-ds-013-2018-minam/Peru_DS_013_2018_MINAM_4P_Index_Coding.xlsx	aa411beaeec8.xlsx
cursor/peru-ds-014-2017-4p-index-d350	output/peru-ds-014-2017-minam/Peru_DS_014_2017_MINAM_4P_Index_Coding.xlsx	8c1960c7fd34.xlsx
cursor/peru-ds-023-2021-4p-index-d350	output/peru-ds-023-2021-minam/Peru_DS_023_2021_MINAM_4P_Index_Coding.xlsx	0cd3bea5db41.xlsx
cursor/peru-ds-244-2019-4p-index-d350	output/peru-ds-244-2019-ef/Peru_DS_244_2019_EF_4P_Index_Coding.xlsx	045e971bed4b.xlsx
cursor/peru-hrnec-2030-4p-index-d350	output/peru-hrnec-2030/Peru_HRNEC_2030_4P_Index_Coding.xlsx	a21cea4162f9.xlsx
cursor/peru-law-29419-4p-index-d350	output/peru-law-29419/Peru_Law_29419_4P_Index_Coding.xlsx	afee8a9e8964.xlsx
cursor/peru-ley-30884-4p-index-d350	output/peru-ley-30884/Peru_Law_30884_4P_Index_Coding.xlsx	36f767f7fd34.xlsx
cursor/peru-ley-31896-4p-index-d350	output/peru-ds-001-2022-minam/Peru_DS_001_2022_MINAM_4P_Index_Coding.xlsx	4525e00a32b5.xlsx
cursor/peru-ley-31896-4p-index-d350	output/peru-ley-31896/Peru_Ley_31896_4P_Index_Coding.xlsx	0ab2876a07a6.xlsx
cursor/peru-ley-32212-4p-index-d350	output/peru-ds-001-2022-minam/Peru_DS_001_2022_MINAM_4P_Index_Coding.xlsx	4525e00a32b5.xlsx
cursor/peru-ley-32212-4p-index-d350	output/peru-ds-002-2024-minam/Peru_DS_002_2024_MINAM_4P_Index_Coding.xlsx	33c10abe5d16.xlsx
cursor/peru-ley-32212-4p-index-d350	output/peru-ley-31896/Peru_Ley_31896_4P_Index_Coding.xlsx	0ab2876a07a6.xlsx
cursor/peru-ley-32212-4p-index-d350	output/peru-ley-32212/Peru_Ley_32212_4P_Index_Coding.xlsx	4d46e80378f4.xlsx
cursor/peru-planres-4p-index-d350	output/peru-planres/Peru_PLANRES_4P_Index_Coding.xlsx	10055c6a7504.xlsx
cursor/peru-rm-122-2021-4p-index-d350	output/peru-rm-122-2021-minam/Peru_RM_122_2021_MINAM_4P_Index_Coding.xlsx	218dd58ca059.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Arrete_07022_POLMAR.xlsx	db7caca499e1.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Arrete_09311_Huiles_Usees.xlsx	9e649446ec8b.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Arretes_EIA_9468-9472_2001.xlsx	9a0db6858b22.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Decret_2001-282_Code_Environnement.xlsx	2fa8ad859863.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Decret_2008-1007_Dechets_Biomedicaux.xlsx	1846cc87451b.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Decret_2010-1281_Batteries_Usees.xlsx	50e509fc78db.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Decret_2016-1804_Code_Peche_Maritime.xlsx	98c26195eb91.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Decret_2019-1855_MEDD_Attributions.xlsx	9341f4b90132.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Decret_2021-1115_CENPOLMAR.xlsx	6809abe2ae0b.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Lettre_Politique_Environnement_2016-2020.xlsx	581007b7a8ad.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Loi_2001-01_Code_Environnement.xlsx	9a496afaa226.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Loi_2009-24_Code_Assainissement.xlsx	e3a4eba369f5.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Loi_2013-10_CGCT.xlsx	6ef6f07243f2.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Loi_2015-09_Sachets_Plastiques.xlsx	745e28156d10.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Loi_2015-18_Code_Peche_Maritime.xlsx	2182fb165218.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Loi_2019-12_CGCT.xlsx	6e0fb0eefbae.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Loi_2020-04_Produits_Plastiques.xlsx	dcd5e76a4d8a.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Loi_2022-18_SONAGED.xlsx	50e0977e478e.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_NS_05-061_Eaux_Usees.xlsx	7a39a24e1c4b.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_PROMOGED_Dechets_Solides.xlsx	93c485e0284e.xlsx
cursor/senegal-plastic-policies-faa3	4P_Index_Plan_Gestion_Dechets_Biomedicaux_2019.xlsx	e477c7bd9687.xlsx
